ID,Location,Lat,Long,Square Meters,Bedrooms,Bathrooms,Parking Spaces,Pets Allowed?,Furnished?,Rent,Condo Fee,Property Tax,Fire Insurance,Service Tax,Total
894523048,"Rua Henrique Sales, Luxemburgo, Belo Horizonte",-19.9434276,-43.9541855,14,4,3,2,0,0,3400,750,365,46,88,4649
894402487,"Rua Antônio de Albuquerque, Funcionários, Belo Horizonte",-19.9388687,-43.93268,14,3,3,2,0,0,9500,300,550,127,247,10477
894514064,"Rua Doutor Thomaz Muzzi, Calafate, Belo Horizonte",-19.9256495,-43.9706484,18,3,3,3,0,0,7800,1100,500,104,202,9706
894050804,"Rua Padre Eustáquio, Carlos Prates, Belo Horizonte",-19.9115744,-43.961992,58,2,2,2,0,0,2850,305,165,38,73,3431
893984806,"Avenida Arthur Bernardes, Santa Lúcia, Belo Horizonte",-19.95275,-43.9485078,16,4,2,2,0,0,2800,1327,310,38,72,4547
893317542,"Rua Princesa Elizabeth, Caiçaras, Belo Horizonte",-19.891707,-43.9696773,20,1,1,0,0,0,1275,0,100,17,33,1425
894504620,"Rua Minas Novas, Cruzeiro, Belo Horizonte",-19.9404465,-43.9278109,18,3,3,2,0,1,5270,1200,458,71,136,7135
894509077,"Rua Henrique Burnier, Grajaú, Belo Horizonte",-19.9399288,-43.9657458,30,4,3,3,0,0,5741,952,377,77,148,7295
893979514,"Avenida Augusto de Lima, Centro, Belo Horizonte",-19.9233115,-43.9425565,88,2,1,0,0,0,5000,670,0,67,129,5866
893856725,"Rua Cônsul Walter, Buritis, Belo Horizonte",-19.9729248,-43.9704979,26,4,3,3,0,0,4000,300,0,54,103,4457
894216540,"Rua André Cavalcanti, Gutierrez, Belo Horizonte",-19.9327807,-43.9575424,14,4,4,3,0,0,11250,1900,400,150,292,13700
894365910,"Rua dos Caetés, Centro, Belo Horizonte",-19.9163364,-43.939253,78,2,1,0,0,0,2900,380,122,39,75,3516
892900434,"Rua Geraldo Teixeira da Costa, Floresta, Belo Horizonte",-19.9197149,-43.9317622,28,6,3,3,0,0,5500,0,608,91,142,6341
894475251,"Rua Maria Heilbuth Surette, Buritis, Belo Horizonte",-19.9706695,-43.9728389,27,3,2,4,0,0,7250,1135,462,97,187,9131
894316740,"Rua das Mangueiras, Manacás, Belo Horizonte",-19.898822,-43.9987946,60,3,1,2,0,0,2320,50,0,31,60,2461
894261689,"Rua Vereador Orlando Bonfim, Planalto, Belo Horizonte",-19.8377797,-43.9494312,12,3,2,2,0,0,4000,500,166,54,104,4720
893813582,"Rua Gláuber Rocha, Paquetá, Belo Horizonte",-19.8680914,-43.9939737,32,1,1,1,0,1,2100,165,145,28,46,2484
894467172,"Rua Domingos Fernandes, União, Belo Horizonte",-19.8831998,-43.9217811,33,5,4,2,0,0,3980,600,300,53,103,5036
894554533,"Rua São Paulo, Lourdes, Belo Horizonte",-19.9298473,-43.9429467,30,4,5,4,0,0,13000,3230,1689,174,336,18429
894498914,"Rua Padre Severino, São Pedro, Belo Horizonte",-19.9456761,-43.9365843,18,4,4,4,0,0,12190,2525,1043,163,316,15921
894207371,"Rua Itaúna, Colégio Batista, Belo Horizonte",-19.906743,-43.9329275,23,4,3,3,0,0,8500,775,389,114,220,9998
894450230,"Avenida João Pinheiro, Centro, Belo Horizonte",-19.9262341,-43.9363539,16,4,2,1,0,0,3330,950,229,45,86,4640
894396910,"Rua Garumã, Jaraguá, Belo Horizonte",-19.8574813,-43.9539177,36,5,5,6,0,1,15000,1100,50,200,388,16738
894369330,"Rua Paraíba, Savassi, Belo Horizonte",-19.9335661,-43.9329294,99,3,2,2,0,0,6000,600,284,80,156,6964
894333110,"Rua Elza Moreira Lopes, Santa Rosa, Belo Horizonte",-19.8629564,-43.9441974,21,3,3,1,0,0,6562,500,165,88,170,7315
894398181,"Rua Juíz de Fora, Santo Agostinho, Belo Horizonte",-19.9278552,-43.9548048,24,4,3,3,0,0,5900,1630,769,79,152,8530
893366638,"Avenida João Pinheiro, Centro, Belo Horizonte",-19.9262341,-43.9363539,15,4,1,1,0,0,3310,600,0,45,85,4040
894288635,"Rua Itapecerica, Lagoinha, Belo Horizonte",-19.9083999,-43.9443999,45,2,1,0,0,0,1630,1,0,22,42,1695
894532999,"Rua Maranhão, Funcionários, Belo Horizonte",-19.9326077,-43.9254918,30,4,5,4,0,0,16180,2700,1220,216,420,20316
893820754,"Rua Visconde de Mauá, California, Belo Horizonte",-19.9259614,-44.0139822,46,2,1,1,0,0,1214,270,0,17,31,1532
894478040,"Rua Dona Cecília, Serra, Belo Horizonte",-19.9375473,-43.9222829,11,3,2,2,0,0,3300,1000,276,44,86,4620
892959585,"Avenida Barbacena, Santo Agostinho, Belo Horizonte",-19.9265089,-43.9516644,35,7,3,8,0,0,14500,0,0,262,375,15137
